country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","08-04-2025 11:00:00",28.5504249,77.2159377,SO2,72,79,73
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","08-04-2025 11:00:00",28.5504249,77.2159377,CO,39,126,81
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","08-04-2025 11:00:00",28.674045,77.131023,NO2,20,109,66
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-04-2025 11:00:00",28.636110,77.173332,PM10,98,264,170
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-04-2025 11:00:00",28.636110,77.173332,NO2,38,170,103
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-04-2025 11:00:00",23.002657,72.591912,OZONE,5,34,18
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","08-04-2025 11:00:00",23.020509,72.579261,NH3,4,23,7
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-04-2025 11:00:00",28.611281,77.237738,NO2,17,175,102
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-04-2025 11:00:00",28.611281,77.237738,OZONE,5,308,28
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","08-04-2025 11:00:00",28.623763,77.287209,NH3,16,34,25
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","08-04-2025 11:00:00",28.623763,77.287209,SO2,1,103,8
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","08-04-2025 11:00:00",30.943887,76.801991,CO,48,88,59
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","08-04-2025 11:00:00",34.066206,74.819820,PM2.5,53,85,70
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","08-04-2025 11:00:00",23.80569,86.44268,SO2,NA,NA,NA
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","08-04-2025 11:00:00",16.172806,75.659694,CO,4,36,23
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","08-04-2025 11:00:00",15.888653,74.541751,NO2,NA,NA,NA
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","08-04-2025 11:00:00",23.243639,72.68994,OZONE,2,46,8
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","08-04-2025 11:00:00",23.221714,72.654328,NO2,22,25,24
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","08-04-2025 11:00:00",23.221714,72.654328,OZONE,22,23,22
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","08-04-2025 11:00:00",22.410802,73.097923,SO2,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC","08-04-2025 11:00:00",21.170046,72.795405,SO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","08-04-2025 11:00:00",20.362421,72.918013,NO2,13,14,14
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","08-04-2025 11:00:00",12.938539,77.590100,CO,15,53,18
